epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7016,1.90578,4.40501,1.87133,0.61935,0.02083,0.0252,0.01869,1.97253,4.81314,2.13303,5.716e-05,5.716e-05,5.716e-05
2,16.0759,1.88844,4.07386,1.87539,0.80186,0.1875,0.21773,0.13777,1.57824,3.26115,1.73492,0.000127549,0.000127549,0.000127549
3,18.7648,1.65165,2.84165,1.70856,0.66269,0.39284,0.45576,0.3139,1.19544,3.11575,1.43484,0.000196759,0.000196759,0.000196759
4,21.0403,1.51485,2.25497,1.57001,0.41565,0.45558,0.38235,0.23284,1.40133,2.91002,1.60355,0.00026479,0.00026479,0.00026479
5,23.1418,1.42932,1.95227,1.50039,0.77791,0.51152,0.53406,0.32307,1.42349,2.48704,1.7182,0.000331642,0.000331642,0.000331642
6,25.1629,1.40149,1.77817,1.49414,0.74246,0.45833,0.49134,0.2814,1.42885,2.38416,1.83051,0.000397316,0.000397316,0.000397316
7,27.1394,1.45797,1.7109,1.55347,0.83698,0.49111,0.51252,0.30513,1.50655,2.17322,1.90055,0.00046181,0.00046181,0.00046181
8,29.6598,1.40846,1.53783,1.44858,0.74334,0.49138,0.53026,0.31358,1.48203,2.32917,1.75694,0.000525125,0.000525125,0.000525125
9,31.9012,1.42274,1.59308,1.50127,0.60415,0.55398,0.52255,0.27183,1.46746,1.94725,1.88196,0.000587262,0.000587262,0.000587262
10,33.8663,1.33514,1.41447,1.44671,0.74212,0.35444,0.49197,0.26563,1.57245,1.80995,2.07762,0.000648219,0.000648219,0.000648219
11,35.8437,1.4839,1.45769,1.62474,0.68578,0.52435,0.48722,0.27903,1.5089,1.91393,1.97075,0.000707998,0.000707998,0.000707998
12,37.8463,1.42157,1.34954,1.55252,0.59345,0.52349,0.5337,0.31619,1.62735,1.92414,2.18018,0.000766598,0.000766598,0.000766598
13,39.9919,1.51708,1.44834,1.62781,0.61565,0.41667,0.46781,0.24779,1.7413,3.8936,2.09374,0.000824019,0.000824019,0.000824019
14,42.4477,1.44652,1.37949,1.57499,0.47644,0.30356,0.26854,0.16185,2.03408,3.52736,1.97634,0.00088026,0.00088026,0.00088026
15,44.6992,1.40021,1.25385,1.55604,0.4453,0.30167,0.30356,0.20205,2.01471,4.36129,2.00353,0.000935323,0.000935323,0.000935323
16,46.6409,1.42826,1.2945,1.52245,0.52888,0.32128,0.30004,0.17198,2.05076,2.90521,2.25598,0.000989207,0.000989207,0.000989207
17,48.6598,1.47217,1.33576,1.58445,0.70211,0.39597,0.47921,0.27318,1.68704,2.33688,1.90638,0.00104191,0.00104191,0.00104191
18,50.6146,1.43774,1.42825,1.59011,0.66472,0.41667,0.44856,0.26135,1.57758,2.29474,1.80059,0.00109344,0.00109344,0.00109344
19,52.5672,1.40893,1.38386,1.50856,0.84957,0.38687,0.47622,0.27419,1.61129,2.74609,1.77949,0.00114379,0.00114379,0.00114379
20,54.915,1.45349,1.39941,1.52923,0.75251,0.39228,0.46243,0.2416,1.57239,2.67676,1.93125,0.00119295,0.00119295,0.00119295
21,57.3529,1.42889,1.24637,1.50849,0.77657,0.33333,0.41375,0.21785,1.77685,3.59099,2.2355,0.00119322,0.00119322,0.00119322
22,59.305,1.35002,1.20559,1.42679,0.60708,0.35665,0.33252,0.19564,1.70802,3.57275,2.05009,0.00118143,0.00118143,0.00118143
23,61.2568,1.38441,1.24208,1.45504,0.56794,0.40719,0.39576,0.25417,1.6919,2.95832,2.10247,0.00116964,0.00116964,0.00116964
24,63.3817,1.39745,1.22367,1.47328,0.6366,0.49481,0.49591,0.31436,1.44241,2.3089,1.77368,0.00115785,0.00115785,0.00115785
25,65.3014,1.35459,1.17796,1.46263,0.50509,0.5,0.411,0.2368,1.55797,2.80326,1.8042,0.00114606,0.00114606,0.00114606
26,67.482,1.33545,1.18509,1.40514,0.52603,0.5457,0.50105,0.30965,1.43416,2.52973,1.66095,0.00113427,0.00113427,0.00113427
27,69.9953,1.35522,1.20629,1.48178,0.72701,0.49182,0.55069,0.33191,1.41379,2.39222,1.71815,0.00112248,0.00112248,0.00112248
28,72.0572,1.32354,1.12276,1.43102,0.82925,0.49689,0.589,0.36912,1.36836,2.17475,1.57115,0.00111069,0.00111069,0.00111069
29,74.0527,1.33082,1.16478,1.45117,0.72578,0.5,0.51909,0.33922,1.35528,1.92553,1.55174,0.0010989,0.0010989,0.0010989
30,75.9959,1.28603,1.11584,1.42513,0.89643,0.42864,0.53191,0.30722,1.5233,1.9207,1.78899,0.00108711,0.00108711,0.00108711
31,78.0271,1.31418,1.11333,1.4694,0.8682,0.47246,0.50709,0.29329,1.57126,1.61293,1.82247,0.00107532,0.00107532,0.00107532
32,80.1135,1.27039,1.06229,1.39465,0.63206,0.52083,0.51573,0.30054,1.38123,1.677,1.48138,0.00106353,0.00106353,0.00106353
33,82.776,1.22793,1.01126,1.3639,0.71082,0.51236,0.53591,0.32272,1.32477,1.63501,1.49616,0.00105174,0.00105174,0.00105174
34,84.7538,1.25081,1.00841,1.40867,0.83451,0.55178,0.57193,0.37789,1.32883,1.74248,1.51114,0.00103995,0.00103995,0.00103995
35,86.7549,1.24321,1.03207,1.38048,0.72136,0.43447,0.52808,0.36201,1.28393,1.68804,1.49591,0.00102817,0.00102817,0.00102817
36,88.9103,1.22256,0.9969,1.35653,0.82893,0.54167,0.58444,0.33027,1.38334,1.50827,1.48517,0.00101638,0.00101638,0.00101638
37,90.8778,1.24864,0.99043,1.39716,0.84162,0.56289,0.61558,0.36234,1.38194,1.31729,1.48218,0.00100459,0.00100459,0.00100459
38,92.8891,1.29321,1.03855,1.44922,0.884,0.5984,0.61597,0.40301,1.35103,1.12539,1.52079,0.000992798,0.000992798,0.000992798
39,95.5954,1.26841,1.02239,1.42546,0.73183,0.58943,0.60712,0.37872,1.34803,1.12218,1.53682,0.000981008,0.000981008,0.000981008
40,97.7194,1.30046,1.01355,1.45941,0.62535,0.58333,0.57024,0.3483,1.24679,1.21909,1.52251,0.000969219,0.000969219,0.000969219
41,99.72,1.21536,0.99322,1.42453,0.78256,0.53265,0.59541,0.34558,1.38952,1.23521,1.64898,0.00095743,0.00095743,0.00095743
42,101.651,1.18525,0.94952,1.39776,0.8123,0.57466,0.60869,0.36303,1.35625,1.24335,1.57501,0.000945641,0.000945641,0.000945641
43,103.581,1.23896,1.00333,1.39674,0.58091,0.65616,0.61535,0.37648,1.27729,1.25161,1.46338,0.000933851,0.000933851,0.000933851
44,105.565,1.15958,0.93276,1.36797,0.71813,0.5625,0.59836,0.3774,1.22905,1.4338,1.44859,0.000922062,0.000922062,0.000922062
45,108.168,1.12453,0.91297,1.32242,0.6343,0.57011,0.5939,0.38219,1.18256,1.45745,1.35861,0.000910273,0.000910273,0.000910273
46,110.342,1.12409,0.94157,1.31108,0.69623,0.625,0.58847,0.36762,1.18989,1.40151,1.38715,0.000898484,0.000898484,0.000898484
47,112.26,1.15764,0.86549,1.30504,0.72954,0.65316,0.67405,0.45881,1.08013,0.92001,1.3251,0.000886694,0.000886694,0.000886694
48,114.507,1.16223,0.9353,1.33129,0.76761,0.71984,0.70767,0.5242,0.97761,0.77275,1.22696,0.000874905,0.000874905,0.000874905
49,116.508,1.19806,0.97007,1.38957,0.81539,0.68872,0.70876,0.53634,0.9307,0.76055,1.19046,0.000863116,0.000863116,0.000863116
50,118.489,1.12833,0.87289,1.317,0.87674,0.65295,0.72471,0.53473,0.91826,0.69927,1.17717,0.000851327,0.000851327,0.000851327
51,121.236,1.14996,0.94367,1.3655,0.76727,0.6875,0.71047,0.51865,0.91474,0.67064,1.15991,0.000839537,0.000839537,0.000839537
52,123.473,1.09083,0.90137,1.29371,0.96926,0.66667,0.73762,0.5472,0.91349,0.60879,1.15014,0.000827748,0.000827748,0.000827748
53,125.502,1.10234,0.88413,1.25899,0.91637,0.69948,0.7421,0.52819,0.95446,0.63869,1.18398,0.000815959,0.000815959,0.000815959
54,127.445,1.11455,0.90084,1.303,0.82397,0.71561,0.73648,0.5158,0.99602,0.69344,1.21444,0.00080417,0.00080417,0.00080417
55,129.357,1.07788,0.8523,1.28121,0.91853,0.67415,0.74573,0.5247,1.01949,0.67302,1.21904,0.00079238,0.00079238,0.00079238
